상태,상품명,PRICE,SALE,상품 설명,구성품,재고수량,1,2,3,4,판매 페이지,재고 위치
판매가능,호크마 회중시계,5.9,9,프로젝트문 로보토미 코퍼레이션 호크마 회중시계,회중시계/체인/품질보증서/캔/종이슬립,,Yes,No,No,Yes,,창고
판매가능,전독시 회중시계,0,11,와디즈 및 서점에서 펀딩했던 전독시 양장본에 포함된 구성품,회중시계/체인/품질보증서/캔/종이슬립,,Yes,Yes,No,No,https://www.wadiz.kr/web/campaign/detail/162105,
판매가능,로오히 1주년 회중시계,5.2,3,로드오브히어로즈 1주년 기념 굿즈,회중시계/체인/품질보증서/박스/종이슬립/원형사진2종,,No,Yes,No,No,https://tumblbug.com/klpkorea_x_lord,
판매가능,로오히 3주년 탁상시계,5.9,3,로드오브히어로즈 3주년 기념 굿즈,탁상시계/품질보증서/박스/종이슬립/안경닦이,,No,Yes,No,No,https://tumblbug.com/klpkorea_x_lord2,
판매가능,쿠키런 나침반 회중시계,5.9,4,,회중시계/품질보증서/박스/종이슬립/안경닦이,,No,Yes,Yes,No,https://showroom.co.kr/product/detail.html?product_no=35129&cate_no=135&display_group=1,
판매가능,쿠키런킹덤 똑딱쿠키 시계탑,18.9,9,와디즈에서 펀딩했던 쿠키런 킹덤 탁상시계,,200,No,Yes,Yes,No,https://showroom.co.kr/product/detail.html?product_no=35088&cate_no=135&display_group=1,
판매가능,청와대 손목시게,,7,,,100,Yes,No,No,No,,
판매가능,박정희 메탈 손목시계,18,10,,손목시계/박스/종이슬립,200,Yes,Yes,No,No,,
판매가능,김구&윤봉길 회중시계,90,40,광복회에서 vip 선물로 제공되었던 시계,회중시계 2종/리플렛/박스/종이슬립,60,Yes,No,No,No,,
판매가능,윤봉길 회중시계,,,광복회에서 vip 선물로 제공되었던 시계,윤봉길 회중시계 1개,90,No,No,No,No,,
판매가능,강철의 연금술사 회중시계 200AP,9.8,12,초침 작동하는 엔틱 모델,회중시계/체인2종/가죽지갑/안경닦이/품질보증서/캔,,Yes,Yes,No,No,https://showroom.co.kr/product/detail.html?product_no=35123&cate_no=136&display_group=1,
판매가능,강철의 연금술사 회중시계 200SP,9.8,12,초침 작동하는 유광 모델,회중시계/체인2종/가죽지갑/안경닦이/품질보증서/캔,,No,No,Yes,No,,
판매가능,강철의 연금술사 회중시계 500AP,,16,초침 작동하는 엔틱 모델,회중시계/체인2종/가죽지갑/안경닦이/품질보증서/캔,,Yes,No,No,No,https://www.showroom.co.kr/product/detail.html?product_no=9636&cate_no=136&display_group=1,
판매준비,빈티지 앤틱 손목시계 1,,3,정상작동,"시계 1개 ",,No,Yes,No,Yes,,
,빈티지 앤틱 손목시계 2,,3,정상작동,,,No,Yes,No,Yes,,
,빈티지 앤틱 손목시계 3,,3,정상작동,,,No,Yes,No,Yes,,
,빈티지 앤틱 손목시계 4,,3,정상작동,,,No,Yes,No,Yes,,
,빈티지 앤틱 손목시계 5,,3,정상작동,,,No,Yes,No,Yes,,
,빈티지 앤틱 손목시계 6,,3,정상작동,,,No,No,No,Yes,,
,빈티지 앤틱 손목시계 7,,3,정상작동,,,No,No,No,Yes,,
